,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
468,CHEMBL2063467,17,nM,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12,7.769551079,393.1007937,7,4,3.2693,TRUE
469,CHEMBL4279747,17,nM,CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)c3ccn(C)n3)cc2c1C(N)=O,7.769551079,450.1143952,7,4,2.4092,TRUE
470,CHEMBL5177053,17,nM,CC(C)n1cc(Nc2ncc3ccc(=O)n(C(C)C)c3n2)cn1,7.769551079,312.1698593,7,1,2.8934,TRUE
471,CHEMBL3087780,17,nM,Cc1nn(C)cc1-c1nc2c(N3CCC[C@@H](CNS(C)(=O)=O)C3)c(Cl)cnc2[nH]1,7.769551079,437.1400717,7,2,2.08582,TRUE
474,CHEMBL3680584,17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCCCC5=O)cc4)c3)ncnc12,7.769551079,494.2066387,6,3,4.11,TRUE
476,CHEMBL215152,17,nM,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,7.769551079,507.239416,8,4,3.4999,TRUE
477,CHEMBL572878,17,nM,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,7.769551079,464.2106785,8,3,3.50322,TRUE
478,CHEMBL4522901,17.3,nM,Cc1cc(Nc2nc(Nc3ccc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)cc3)ncc2F)no1,7.761953897,482.231591,8,3,4.49622,TRUE
479,CHEMBL482779,18,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCNCC3)n2)cc1,7.744727495,438.1950285,8,4,3.16102,TRUE
480,CHEMBL429743,18,nM,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,7.744727495,484.1189848,5,1,7.1032,TRUE
481,CHEMBL2063441,18,nM,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12,7.744727495,401.1487895,5,4,3.984,TRUE
482,CHEMBL3680497,18,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(NCCO)c4)c3)ncnc12,7.744727495,457.1862376,8,5,2.3923,TRUE
483,CHEMBL2063455,18,nM,Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,7.744727495,418.1553521,4,5,3.8582,TRUE
484,CHEMBL1801109,18,nM,CS(=O)(=O)N1CCC(c2cc(Nc3nccn4c(-c5cn[nH]c5)cnc34)sn2)CC1,7.744727495,444.1150639,9,2,2.4585,TRUE
485,CHEMBL214849,18,nM,CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,7.744727495,569.256209,9,4,4.0377,TRUE
486,CHEMBL3685202,18,nM,COCCOc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.744727495,471.1906543,7,3,3.6183,TRUE
487,CHEMBL2029902,18,nM,CN1CCN(C(=O)c2cc(Nc3ncc4ccn(C5CCCC5)c4n3)cn2C)CC1,7.744727495,407.2433585,7,1,3.0161,TRUE
488,CHEMBL3685317,18,nM,CC(C)n1cc(-c2cc(C(N)=O)c3ncnc(N[C@H]4CCCNC4)c3c2)cn1,7.744727495,379.2120584,7,3,2.337,TRUE
489,CHEMBL512184,18,nM,O=C(Nc1cccc(F)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,7.744727495,414.0732793,7,3,4.5855,TRUE
490,CHEMBL2023227,18,nM,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccccc5F)cc4)csc23)cn1,7.744727495,458.1325084,6,3,5.7291,TRUE
491,CHEMBL2012397,18,nM,Cn1cc(Nc2ncc3cnn(C4C5CC6CC(C5)CC4C6)c3n2)cc1C(N)=O,7.744727495,391.2120584,7,2,3.0045,TRUE
492,CHEMBL3329661,18.4,nM,Cc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)cc1,7.735182177,386.1378904,3,4,3.77772,TRUE
493,CHEMBL3329679,18.4,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)N3CCN(C)CC3)c2C)c(F)c1,7.735182177,602.2652964,6,4,3.94044,TRUE
494,CHEMBL605003,19,nM,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,7.721246399,371.1303625,3,2,2.6365,TRUE
495,CHEMBL486877,19,nM,O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)Nc1cccc2cc[nH]c12,7.721246399,435.0936002,7,4,4.9277,TRUE
496,CHEMBL2071270,19,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CCO)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.721246399,389.1367006,8,4,1.1503,TRUE
497,CHEMBL2012309,19,nM,Cn1cc(Nc2ncc3cnn(C4CCC5(CC5)C4)c3n2)cc1C(N)=O,7.721246399,351.1807583,7,2,2.5125,TRUE
498,CHEMBL3393465,19,nM,NC(=O)c1[nH]nc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,7.721246399,446.1161094,7,4,3.6936,TRUE
499,CHEMBL482967,19,nM,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,7.721246399,368.1419303,8,2,3.07092,TRUE
500,CHEMBL4554938,19.4,nM,CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21,7.71219827,416.0725304,8,2,2.287,TRUE
502,CHEMBL3954570,19.62,nM,Cc1cc(C)c2[nH]ccc2c1-c1nc(C(N)=O)c(-c2ccc(N3CCNC(C)(C)C3)cc2)o1,7.707300997,443.2321252,5,3,4.39384,TRUE
503,CHEMBL3680523,20,nM,COCCNc1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)ccn1,7.698970004,471.2018877,8,4,3.0464,TRUE
504,CHEMBL484609,20,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1,7.698970004,452.2106785,8,3,3.50322,TRUE
505,CHEMBL3685216,20,nM,COc1ccc(C(=O)Nc2ccc3c(c2)CN(c2ncnc4c(C(N)=O)cccc24)CC3)cc1,7.698970004,453.1800896,6,2,3.5523,TRUE
507,CHEMBL1078061,21,nM,Fc1cc(CCNc2ncnc3ccsc23)ccc1Nc1nc2cc(C(F)(F)F)ccc2[nH]1,7.677780705,472.1093284,6,3,6.1237,TRUE
508,CHEMBL2380848,21,nM,O=C(Nc1ncc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cn1)c1ccccc1,7.677780705,408.1334738,6,3,3.8622,TRUE
509,CHEMBL3675533,21,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cncc(N5CCOCC5)c4)c3)ncnc12,7.677780705,483.2018877,8,3,2.8247,TRUE
510,CHEMBL4763465,21,nM,O=C(Nc1ccc(Cl)cc1)Nc1ccc(CCNc2n[nH]c(=O)c3ccccc23)cc1,7.677780705,433.1305526,4,4,4.8751,TRUE
512,CHEMBL3361346,21.5,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C/c2cccs2)cc1,7.66756154,419.093977,5,3,4.2113,TRUE
513,CHEMBL1243294,22,nM,CNc1nccc(-c2cccnc2Oc2ccc(Nc3nnc(-c4ccccc4)c4ccccc34)cc2)n1,7.657577319,497.1964084,8,2,6.7264,TRUE
514,CHEMBL3670453,22,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4ccccc4C(F)(F)F)c3)ncnc12,7.657577319,480.1521585,5,4,5.0036,TRUE
515,CHEMBL512833,22,nM,Cc1[nH]nc2c1CCCC1c3ccccc3NC21,7.657577319,239.1422475,2,2,3.30482,TRUE
517,CHEMBL3685231,22,nM,COC1C=CC(C(=O)Nc2cccc(CNc3ncnc4c3=CC(CN3CCN(C)CC3)CC=4C(N)=O)c2)=CC1,7.657577319,543.295788,8,3,0.6123,TRUE
519,CHEMBL5173220,22,nM,CCOP(=O)(OCC)C(Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1)c1ccc[nH]1,7.657577319,492.2038754,8,3,6.29552,TRUE
520,CHEMBL2012403,22,nM,Cn1cc(Nc2ncc3cnn([C@@H]4CC[C@H]5CCC[C@H]54)c3n2)cc1C(N)=O,7.657577319,365.1964084,7,2,2.7585,TRUE
521,CHEMBL4877440,22.2,nM,COc1ccc(NC(=O)Nc2ccc(Oc3ncnc4cc(N(C)C)ccc34)cc2)cc1,7.653647026,429.1800896,6,2,5.1407,TRUE
522,CHEMBL4784119,22.84,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5cccc(Cl)c5)c4)ncnc3c2)cn1,7.6413039,469.1417859,6,3,6.0713,TRUE
523,CHEMBL1822654,23,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC5CCCC5)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.638272164,548.2318079,10,4,3.59842,TRUE
524,CHEMBL3670466,23,nM,NC(=O)c1cccc2c(NCCNCc3ccccc3)ncnc12,7.638272164,321.1589602,5,3,1.9304,TRUE
525,CHEMBL457099,23,nM,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)Nc3ccccc3)c3ccccc23)n1,7.638272164,462.1804239,6,3,6.1698,TRUE
527,CHEMBL1822652,23,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)C)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.638272164,522.2161578,10,4,3.06422,TRUE
528,CHEMBL4290876,23,nM,CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)N(C)C)cc2c1C(N)=O,7.638272164,413.1191462,5,4,2.0932,TRUE
529,CHEMBL2012399,23,nM,Cn1cc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1C(N)=O,7.638272164,353.1964084,7,2,2.9026,TRUE
530,CHEMBL2022850,23,nM,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(C(N)=O)c5)cc4)csc23)cn1,7.638272164,483.1477439,7,4,4.6889,TRUE
531,CHEMBL1822653,23,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OCC5CC5)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.638272164,534.2161578,10,4,3.06582,TRUE
532,CHEMBL1801131,24,nM,CCSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,7.619788758,357.0830355,8,2,3.73992,TRUE
533,CHEMBL2063460,24,nM,Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,7.619788758,469.1474075,6,4,3.9043,TRUE
534,CHEMBL2407749,24,nM,O=C1Nc2ccccc2/C1=C\c1ccc2c(/C=C/c3ccncc3)n[nH]c2c1,7.619788758,364.1324111,3,2,4.621,TRUE
535,CHEMBL1096492,24,nM,CCn1cc(-c2ccnc3[nH]c(CNCCS(C)(=O)=O)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,7.619788758,557.2209089,7,4,4.8915,TRUE
536,CHEMBL2011928,24,nM,COc1ccc(-c2nc3c(NCCCNC(C)=O)c(Br)cnc3[nH]2)cc1,7.619788758,417.080037,5,3,3.3341,TRUE
537,CHEMBL523923,24,nM,O=C(Nc1cccnc1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,7.619788758,418.1865719,6,4,2.8242,TRUE
538,CHEMBL3944825,24.33,nM,CC1(C)CN(c2ccc(-c3oc(-c4c(F)ccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1,7.613857891,433.1914032,5,3,3.9161,TRUE
539,CHEMBL1095828,25,nM,CCn1ncc(-c2ccnc3[nH]ccc23)c1-c1ccc(NC(=O)Nc2ccccc2)cc1,7.602059991,422.1855093,4,3,5.7573,TRUE
540,CHEMBL2071272,25,nM,NC(=O)Cn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.602059991,402.1319495,8,4,0.6433,TRUE
541,CHEMBL2011931,25,nM,COc1ccc(-c2nc3c(NCCCNC(=O)C4CC4)c(Br)cnc3[nH]2)cc1,7.602059991,443.095687,5,3,3.7242,TRUE
542,CHEMBL485351,25,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(CC)CC3)n2)cc1,7.602059991,466.2263286,8,3,3.89332,TRUE
543,CHEMBL1650533,25,nM,CCN(Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO.Cl,7.602059991,462.1717062,9,3,3.64252,TRUE
544,CHEMBL1086579,25,nM,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,7.602059991,474.1491196,8,1,2.09082,TRUE
545,CHEMBL3393483,25,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(N)cccc3[nH]2)o1,7.602059991,489.1470752,8,4,4.9586,TRUE
546,CHEMBL3322563,25,nM,O=C(CC(=O)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1)Nc1ccc(F)cc1,7.602059991,404.1284686,3,4,3.6138,TRUE
547,CHEMBL3670493,25,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(Cl)c4)c3)ncnc12,7.602059991,432.1101515,6,3,3.6415,TRUE
548,CHEMBL3322590,25.5,nM,O=C1Nc2cc(NC(=O)c3c[nH]cc(-c4ccccc4F)c3=O)ccc2/C1=C/c1ccc[nH]1,7.59345982,440.1284686,3,4,4.2541,TRUE
549,CHEMBL2170411,25.6,nM,Fc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccccc1Cl,7.591760035,399.1262161,6,2,4.5929,TRUE
550,CHEMBL4168177,25.7,nM,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc(F)c(Cl)c3)n2)n[nH]1,7.590066877,416.1639986,7,3,3.53962,TRUE
551,CHEMBL1090156,26,nM,CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,7.585026652,374.1855093,4,2,4.2068,TRUE
552,CHEMBL1091232,26,nM,CN1CCN(Cc2cccc(/C=C/c3n[nH]c4ccc(NC(=O)Cc5cccs5)cc34)c2)CC1,7.585026652,471.2092815,5,2,4.7234,TRUE
553,CHEMBL2071273,26,nM,CNC(=O)Cn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.585026652,416.1475996,8,4,0.904,TRUE
554,CHEMBL3954695,26,nM,O=C(O)/C=C\C(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc23)c1,7.585026652,507.0848689,7,4,3.5182,TRUE
555,CHEMBL1801135,26,nM,Cc1cc(Nc2nc(C(=O)N3CCCC3)cn3c(-c4cn[nH]c4)cnc23)sn1,7.585026652,394.1324282,8,2,2.86392,TRUE
558,CHEMBL3675321,27,nM,NC(=O)c1cc(OCCCN2CCC[C@H]2CO)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,7.568636236,503.2144244,7,3,3.5852,TRUE
561,CHEMBL2071274,27,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CCN4CCOCC4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.568636236,458.1945498,9,3,1.4902,TRUE
562,CHEMBL3685203,27,nM,CN(C)CCCOC1C=CC(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)=CC1,7.568636236,500.2535889,7,3,3.5025,TRUE
563,CHEMBL1822649,27,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C(F)(F)F)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.568636236,590.2035424,10,4,3.99672,TRUE
565,CHEMBL3343037,27.3,nM,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCO,7.563837353,430.1641052,7,3,4.0054,TRUE
566,CHEMBL2071200,28,nM,Cn1cc(Nc2ncc(C(F)(F)F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.552841969,393.1524929,7,3,2.0604,TRUE
567,CHEMBL2063456,28,nM,Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,7.552841969,436.1459303,4,5,3.9973,TRUE
568,CHEMBL4568087,28,nM,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,7.552841969,421.1684794,8,2,2.858,TRUE
570,CHEMBL1822650,28,nM,CCC(C)(C)O[C@H]1CN(CC(=O)Nc2ccc(Sc3nc(Nc4cc(C)[nH]n4)c4cccn4n3)cc2)C[C@@H]1O,7.552841969,550.2474579,10,4,3.84442,TRUE
571,CHEMBL2022114,28,nM,Cc1cn2c(-c3cnn(CC(N)=O)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,7.552841969,451.1902774,10,2,2.57252,TRUE
572,CHEMBL1822640,28,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@@H](F)C[C@H]4CO)cc3)nn3cccc23)n[nH]1,7.552841969,496.1805213,9,4,2.99882,TRUE
575,CHEMBL1822656,28,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](Oc5ccccc5F)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.552841969,574.1910859,10,4,3.85732,TRUE
576,CHEMBL3975342,28,nM,O=C(O)CCC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,7.552841969,464.1154407,5,4,3.834,TRUE
577,CHEMBL2163401,28.6,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](S(=O)(=O)C(C)(C)C)C4)cc3)nn3cccc23)n[nH]1,7.543633967,568.2038789,10,3,3.88172,TRUE
578,CHEMBL3646211,28.93,nM,COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C[C@H](O)CO)c5)cnc(N)c34)cc2)cc1,7.538651566,530.1736243,9,5,4.4148,TRUE
579,CHEMBL1822638,29,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC(F)(F)C[C@H]4CO)cc3)nn3cccc23)n[nH]1,7.537602002,514.1710994,9,4,3.29602,TRUE
580,CHEMBL2071202,29,nM,Cn1cc(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.537602002,359.1261359,7,3,1.695,TRUE
582,CHEMBL2011932,29,nM,COc1ccc(-c2nc3c(NCCCNC(=O)C4(CN)CC4)c(Br)cnc3[nH]2)cc1,7.537602002,472.1222361,6,4,3.0531,TRUE
583,CHEMBL2071194,29,nM,Cn1cc(Nc2ncc(F)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.537602002,343.1556864,7,3,1.1807,TRUE
584,CHEMBL4288081,29,nM,CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)c3cccs3)cc2c1C(N)=O,7.537602002,452.0646681,6,4,3.7372,TRUE
585,CHEMBL3353355,29,nM,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,7.537602002,506.2317908,5,2,4.9515,TRUE
586,CHEMBL3322591,29.2,nM,Cc1c[nH]cc(C(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)c1=O,7.534617149,360.1222404,3,4,2.75642,TRUE
587,CHEMBL3322564,29.6,nM,COc1ccc(NC(=O)CC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)cc1,7.528708289,416.1484551,4,4,3.4833,TRUE
588,CHEMBL3329662,29.8,nM,COc1cc(OC)cc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)c1,7.525783736,432.1433697,5,4,3.4865,TRUE
589,CHEMBL4796460,29.82,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5ccc(F)c(Cl)c5)c4)ncnc3c2)cn1,7.525492361,487.1323641,6,3,6.2104,TRUE
591,CHEMBL2170412,30,nM,Fc1cnc(Nc2ccc(CN3CCOCC3)cc2)nc1Nc1ccccc1Cl,7.522878745,413.1418662,6,2,4.5885,TRUE
592,CHEMBL2011929,30,nM,COc1ccc(-c2nc3c(NCCCNC(=O)C(C)C)c(Br)cnc3[nH]2)cc1,7.522878745,445.1113371,5,3,3.9702,TRUE
593,CHEMBL2022372,30,nM,Cc1cn2c(-c3cnn(CC(=O)Nc4ccc(F)cc4)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,7.522878745,545.2121557,10,2,4.86502,TRUE
594,CHEMBL2029900,30,nM,CN1CCN(C(=O)c2cc(Nc3ncc4cc(/C=N/O)n(C5CCCC5)c4n3)cn2C)CC1,7.522878745,450.2491722,9,2,2.8242,TRUE